Region,Product_Category,Size,Age,Income,Price
North,B,555.5536019009567,6,73130.8829354131,187.07619612801682
South,B,2090.7681815507894,19,36996.49468082227,93.95245130287273
South,A,2352.9860694571616,19,68979.18587749182,357.9048619304706
South,C,1235.6089402106873,12,88803.02494694767,248.06862218282058
South,B,1691.6599990489358,39,95558.7757383284,104.91720568015047
East,B,2979.641988119271,18,49482.996858122264,272.8296095500716
West,B,1940.8575324539966,3,50211.752572595826,65.47483450184828
East,C,1377.6872641539167,9,48951.14321589378,459.1941809354519
West,A,2068.7221916003327,6,40741.50511797372,166.4509917200076
West,A,950.0557671602112,1,60149.96276709002,348.1350279592919
West,A,998.13093318645,42,84912.81937722045,190.26998424023492
East,A,2812.3117867850424,40,79846.20484327394,284.0306095300149
South,C,1098.0001029233267,29,93022.35459225721,296.01962570447586
East,C,1276.9734480393604,49,54901.90378969554,133.18450498648718
East,C,1859.4431049243847,35,70055.34762286459,486.31308249405134
West,B,2749.231550694016,35,83657.48462075728,398.80977051250153
North,C,2453.622224297536,30,92872.13128604036,472.7745237038851
North,A,609.4598016746872,35,91022.80183929732,452.67230769244196
East,C,2232.5741722459234,39,62586.23161007014,319.0549904649883
West,B,1760.153706709982,22,93480.04835793446,464.84340576040256
East,A,1688.8821050059514,43,61083.90315050387,89.82162592336377
East,C,2228.895917063858,28,93198.25525921654,138.19228808861533
South,A,990.5801155476103,18,84387.95648262944,70.35228000974213
West,A,2953.7216591542997,32,45515.35455348411,196.39864884346895
North,C,2113.2663256811225,5,95076.73719071769,224.9047803602669
North,C,1414.1404365296403,34,46972.52136536711,172.10706429825316
North,B,2000.505520175403,31,93589.39735265942,422.9318791183682
East,C,1041.1771582240508,46,73057.63486143322,210.53899701211517
West,C,2084.6046621373907,33,76716.327504046,176.42052935932134
South,C,570.5428518444934,4,37653.343811241684,294.21323742121183
North,A,1352.9547785209154,14,34601.87199074542,113.41590123864319
West,B,2368.792241868766,15,97783.87170382142,410.98864133931784
North,A,2519.9446227853496,20,53584.94080080122,83.54778965589688
South,C,1132.2985332849203,20,89105.97841379672,494.0991214702328
West,B,1848.5236531999662,49,79313.28151330673,397.51014618349586
East,C,1821.232224222795,35,72289.68668074018,139.4220566903776
East,A,1553.640115941951,4,77964.69664791084,52.48495270562108
North,A,1071.0824568824464,18,36257.10191480195,416.95764280467534
North,C,2258.070583071932,24,58867.667241963965,368.0858047314277
West,B,1130.9042043637992,27,72495.34734207107,378.0532256184443
South,A,2777.564342891539,33,90729.40684337188,397.0716560086756
North,C,1821.2532277962566,25,80028.11447208641,83.32009328034067
West,C,2676.1958432765546,5,47696.508666180016,211.30957784492267
South,C,1226.8568020104099,18,98944.84029236344,102.14107678630837
North,B,2517.6978906468303,45,75012.5613574108,438.3965416440171
North,C,784.1589622499813,46,65092.1632665498,330.48415707240105
West,C,2417.0758550184837,20,84696.51695269268,198.90411118369212
North,A,1467.3646248132554,35,72189.02831324651,78.60125762871064
East,C,1674.975222046467,6,79699.19823179976,189.94204477204798
South,B,917.0183006489319,27,73199.32674738794,196.33249491203617
South,C,546.5692213109809,28,42518.66169622504,378.32278025212884
East,B,2165.4937328207043,11,68034.92425863404,336.9008621098459
West,C,1969.2957085010455,9,49817.08074430376,449.24573415934697
East,C,2056.070380174144,28,69920.19116467102,262.4967163228772
East,C,1137.5043950672996,19,38785.24806342409,103.81741067223577
South,B,1098.1936572077652,39,46237.60310484845,370.9601542503477
West,A,2575.740778173119,21,86610.5815414458,392.35327187760385
North,B,2403.131881483083,31,58368.938054811515,302.5747389062733
East,A,1341.9752896034015,42,77164.94199514599,396.93523097955244
East,B,2094.514289939201,7,64849.39437464418,272.20801836397584
West,C,2570.375010422035,37,53848.80684038979,285.2297732218973
East,C,2722.073605544872,25,64662.26752912489,242.39345826134732
West,A,514.5156522731065,28,86959.01025890844,61.43860703484283
North,A,2533.655982836811,36,49712.04646348817,98.551142146987
West,B,1375.9808356173146,17,59501.052834276226,64.14313355903042
North,B,2295.9457119404415,26,44180.829911420486,336.3846850687012
West,A,1428.503411499999,28,54583.227609717644,191.460191484347
East,A,2015.6227169850372,37,91957.6796330684,278.85681102411627
North,B,2116.9561000150466,17,85000.57584921109,458.40491326674186
East,A,1512.4819272905652,49,56153.07049202593,162.18150311699372
North,A,1781.963327844362,17,39267.62088436174,234.6723153660334
West,A,2315.7834297979207,33,59397.90167298066,389.9980123443719
West,A,1690.7631717371553,34,84020.56839326776,152.9591744712301
West,C,534.9512127129165,23,33066.06978705168,84.64095942295685
South,C,532.2604924937895,30,82173.84767256962,180.38815381119562
South,A,2153.277125123484,27,77593.69515662774,122.54957926430198
North,B,2618.093843638995,9,34525.42597414942,468.36394355415786
South,C,2463.183843784991,20,74494.82025154457,413.65417080398765
West,B,1276.0007548329086,23,50905.90928783385,335.03169042969057
South,B,1677.819712492386,47,42409.97242340419,442.15726558447295
South,C,1085.4018502541676,19,56941.736590509565,411.6524346046015
East,B,2972.8747766666816,37,44377.1432474932,133.95652649871613
North,B,1151.26612315058,45,87718.91148608967,451.65154932049
North,A,1540.6539821234164,4,81940.03540740767,292.7040088620428
North,A,2202.822378310758,13,98652.70652830224,413.34806982382815
South,A,2690.04417412694,38,67385.23924963793,453.24108496557193
West,C,628.6892101678413,12,36244.40752428126,193.10156373733875
East,A,1252.5491900678035,9,55743.80351517162,99.52336603745454
North,B,1922.464619911151,15,88704.59342452104,152.57082314387375
South,B,2045.7827034404586,21,57780.42475815126,242.19850488181535
West,B,675.068596249652,15,61897.25889454226,418.1066446651219
East,B,2160.1968446051833,49,58837.960393026035,437.32876246535454
East,B,1820.1609140214357,5,46476.50830478693,53.128458739035814
North,C,2569.0684484053613,5,35123.664792285905,279.8362861599046
North,B,1055.4729405207518,25,42639.2226730659,237.83495141695056
West,C,987.5674625546902,24,55476.0154404855,149.9485147118286
South,B,2483.3430548198894,37,47180.63824344947,103.93941530015726
West,C,2259.672822349041,31,70091.46399933606,201.9268271316326
North,C,2479.1834014441865,46,72973.39626383511,474.3093667606336
West,B,2454.8353525701987,34,69904.62523859757,195.44131940933985
South,B,760.0016895761516,41,35944.332513255584,283.45577978451473
East,B,1196.4576182478772,14,76680.22239765234,366.35853150283003
East,B,1150.212840341116,27,56920.56392771525,213.63332107068229
East,A,2836.468203542099,47,91471.11440806754,487.3019372244323
East,A,1718.666435125864,4,66793.00582898453,483.1012827239501
North,C,777.6428317500435,23,35916.026820048166,163.30203312141387
North,C,1223.9447648250468,38,30645.26626503901,273.7618276515734
South,A,2679.7541212911788,46,79175.86046783853,185.39523941754635
South,C,2617.665945413283,5,58035.75153943896,178.17822246986043
South,B,2750.8487086013433,27,50159.7111574617,66.59912630953976
South,C,1471.32193184255,43,61302.53286485109,324.3039502909536
West,C,2103.3524037249913,14,35067.50259561962,276.2055604529877
South,C,1195.4347996883093,7,57438.90343198502,73.16543806249521
East,A,952.0633278809346,46,52028.98308116138,175.39090890647515
East,A,554.7526898159198,45,86013.23976026435,458.7196486849942
East,C,1058.6023742233738,18,42239.78053797907,157.8028508001376
West,B,2010.9353422306824,32,82942.18324696954,115.20269244105039
South,C,2760.5257840169816,2,65028.17727903693,270.2537421249034
East,A,833.5513830386044,41,35732.156435979894,493.5427043497703
East,B,2795.028902413605,43,97877.49838518466,158.92487218017519
East,C,1363.4630871793033,20,81394.67545577776,352.4609963326453
East,A,1567.0710190358018,29,48206.59871023314,392.7288268979229
North,B,1412.4463511718668,43,70722.7302020582,156.93689479657985
South,C,1521.5203497992597,26,92995.48708697803,377.6973568753368
South,A,1147.982872969163,38,95156.48774933213,215.50240972366396
West,B,2246.5116957785967,1,81181.0628138727,334.53762376711074
North,C,2395.4577756754175,5,80936.91082219218,335.08836984240264
West,B,2557.782227130662,14,49415.28729168697,291.0986078336413
East,B,1353.2239583999176,25,99283.33658344476,90.63039652448373
West,B,2411.567227569487,48,47043.684338671315,425.88612301515707
East,A,2094.1883936920376,9,36258.45016884234,194.35102923728113
East,C,2894.790217100982,30,98416.61215441223,133.9333296799344
South,B,1561.962916746369,19,40699.182494132474,68.34881369964376
South,B,2980.7743197083864,40,66512.94348465608,315.90182443470883
South,B,2350.9850750196783,8,62777.0382678237,354.9039628290271
South,A,2440.6943873974933,16,89374.42164538604,57.46452301753527
South,B,564.2621502741525,8,57766.14584068842,280.44187623467644
North,A,1743.495878340241,23,65152.70219510305,151.92309883907208
South,A,1820.841780780063,9,33061.63896065466,340.32775568425245
West,B,601.500254801499,32,44548.61163884512,128.46489305224617
East,B,1280.3280587263876,37,88309.69608139452,360.92198214610966
South,A,2889.1104515694906,34,63485.284166542675,224.03090583524184
North,A,1565.278590900339,46,46165.22040079769,471.52849493153053
West,B,966.7549613957685,18,55823.514052933955,111.88442486569696
West,A,1783.3467675660204,45,49956.69361512999,203.47985797261632
East,A,584.4139430511631,44,68935.45651274435,101.06308455826507
West,B,1789.9717499271433,15,33601.22127554048,466.1121282253533
West,B,1985.6707650752196,15,45747.88955222351,444.80270902144144
West,C,1394.2359063825156,29,54847.549713674336,166.07373247182002
West,B,2406.440495233899,23,94974.98725646076,346.99282071538056
North,B,839.2851925025134,23,73629.47466572715,417.7499900905471
East,B,2695.4585247017417,1,65297.7558928771,299.84036521975804
South,C,2888.6122759760506,22,43357.64176456115,288.3427602602029
West,A,503.08631150722135,7,69049.71141326113,158.83353090520325
North,B,2606.8041501078983,45,95030.66853734081,91.89624551265464
East,B,1765.2628722683337,32,69641.65131959408,453.747091078997
South,C,1653.514084596292,28,41534.183986834694,455.18812572349873
East,C,1096.6977671859527,32,99798.32980384884,334.8956557729706
North,C,1618.3126027790915,33,64920.03094460118,202.5634059719153
North,A,2876.0678740753438,43,52368.86843698665,207.1443085756974
North,C,1026.9690848859593,13,65236.329263536674,376.68005549160773
West,A,947.6030961269059,28,48458.355666765085,453.6996169786597
North,B,1104.7407601486198,9,32126.121744993645,449.18889091930276
South,B,1879.585485843166,48,92266.49017986002,400.9439956359307
West,B,2825.74953858325,43,60021.21015848866,338.9142407694295
East,C,1934.7039769131438,3,82702.48901718404,87.86298424777198
South,B,1108.7061915145523,17,97987.87659250254,122.73292134257619
West,C,1601.1307883031552,34,74281.13035352711,454.34938483718565
North,A,1476.0003294643643,32,78413.14370175678,322.89307684681546
East,B,616.4236746560931,9,96026.8663318501,54.13867322748334
North,A,1776.6046213226464,41,66158.81122116008,95.66219428971445
South,C,815.0159665841845,48,52392.99145294847,348.5757960986251
South,C,2605.6101052096874,1,94496.89796573984,52.277712730798406
West,B,1872.407273239742,49,34829.58761445566,122.3636231378744
South,B,2611.5162065434397,42,45022.55676178552,296.93020521496373
East,C,2890.1117184451027,20,53888.52531024244,361.35283896171194
West,B,2857.970726875691,5,84747.81347912733,343.3825667761702
East,B,751.0733357688844,40,93273.1012702987,150.9211892572519
North,A,2862.042678875018,45,61625.05848325591,370.4806496063911
East,C,2489.3680194737753,21,50028.93841724335,156.76208937356003
East,A,2444.145263151978,5,54724.750702249876,196.4298641716705
South,B,725.3213506704385,4,75958.31199650545,385.9211323031109
North,A,948.7867557089978,8,41060.49816225061,342.3348045712466
South,C,2937.908449786921,25,68320.15501098512,432.1505347223801
North,A,1033.4253928882358,7,71191.03086130058,345.9258015351545
North,A,922.6333254185016,37,79549.90252861552,305.7388715009622
East,B,1405.8790467736696,42,72272.85357987127,92.15364552264161
South,C,2783.3904938372257,32,36786.893502629275,215.4721113767451
East,B,1690.4836588913888,17,78215.9221404655,169.34106545677645
East,B,2801.459297722716,28,31522.32014478906,159.79533952058762
East,C,1335.8469510380892,6,57321.616252844164,487.85474963860054
North,A,1066.3216130674982,42,59194.40563995455,226.89397610004218
South,B,1738.0075221275888,48,38164.13373930959,451.420949829701
South,A,2038.6922256547214,42,30689.999760476105,334.0123816987683
East,C,1478.7474965338902,36,34981.32889435309,407.66508659374176
North,B,1365.0762739863294,2,61240.99736693449,276.18669189733646
South,A,1045.1482119331167,31,46824.79693774276,309.6067480818616
West,A,1187.5169155544286,1,34828.62784621868,271.63296221848873
South,B,2182.794907880752,3,47948.37876633213,137.85934450912004
East,C,1424.6838465341948,13,67017.56481072868,375.1034518676774
West,A,699.3926043025713,31,81949.71872656723,176.3475630983851
North,C,845.3884748813366,29,58840.09428987479,60.942184894154224
West,B,1430.9479709777768,44,72920.42722636196,340.46253315822554
West,A,2811.2560746196546,33,71773.52719190503,129.699805733172
East,A,1447.5756541149508,10,92742.01554117122,473.20636295881144
South,A,651.6051936291882,38,42557.599117830374,479.2678596511643
North,C,1544.9856447000398,9,63350.1310451087,461.68897559920185
West,A,2172.0439849004147,1,74228.08120622626,216.57141511494999
East,A,1983.9903373705524,44,66380.56275382671,56.95547743799034
South,B,1197.0074059650751,37,61523.91101032961,467.74335316447645
West,A,2220.222307621735,32,98142.12879024333,242.68286674279145
East,C,2076.560934663331,33,95940.96841293045,484.9946685696513
East,B,930.4324220724216,2,72801.88115370204,483.6289896901638
East,B,905.3625089206125,46,60770.29965507882,433.854254960312
North,A,1867.9577051698518,2,82876.74849145967,182.50200143131357
South,B,2148.596402790259,5,65905.43224917456,223.29397787086637
West,A,2904.7764621506517,10,99689.87350110382,433.0115021825856
South,B,1554.8265768294493,38,78015.61066557869,192.61490232032494
South,C,2412.3480991797833,37,34771.20417528234,126.27173600874161
West,A,791.301868228441,2,58133.74580804366,300.56056810625756
South,C,2724.0225682891178,41,81118.52884705941,471.2696483723514
North,A,2082.7688534970994,42,88965.84709883176,363.21340850373787
West,C,2072.5758283781183,40,86935.86499810501,306.52752654021424
West,C,856.1065845810888,25,98406.64070341055,93.72942219684583
East,B,598.9593238147448,38,64238.43464947563,326.75325201462636
South,A,2253.622844961549,37,39804.692954784434,495.5242325469185
West,B,792.6411474114666,18,75657.02266989693,113.03780685643582
West,C,817.4253737098318,27,34952.42350110398,283.24834356368154
North,A,968.7503658674625,20,98146.63130161386,444.81788236757995
East,C,744.3662078490061,34,83097.31491700781,383.345877989392
West,C,2063.481301075767,44,98750.3842498633,363.6570834478706
North,C,1555.0120146214701,8,56407.70937118592,366.11783779419915
West,C,1165.2402310238706,4,31105.768650191774,211.77101804888983
West,B,1601.8735009289414,30,66490.27886729955,182.116329919022
West,C,2610.3500051629994,36,38482.828993369025,414.2125199653311
North,B,2817.6985126090904,9,77573.93876843975,414.55102760563136
South,C,1718.690361633604,41,64828.59974639847,440.18254336104667
West,A,1916.8822877820062,12,82741.28833646295,460.9582486504121
West,C,1142.999825849682,14,50374.81550467821,280.10407948742204
South,C,1784.000946592798,35,88041.58950348308,275.68233260923984
West,A,2370.2990173380804,6,75557.43818295014,409.23283053504883
East,A,1730.3431591404237,47,99139.68060411882,342.4837688499943
West,C,1255.1822519729244,23,42498.9922772113,365.8850947659665
East,C,1955.0858680623976,4,33582.09266323693,408.10670124624545
South,B,2866.6400772146117,1,89573.49568319146,450.50240381790485
North,A,2719.959634957779,9,53691.5900351661,202.09782058319112
South,A,2423.1059479386404,48,60187.24548050318,219.01232868797482
West,B,1190.5240816630226,9,94796.77836213505,92.29187292839106
East,C,1103.8987680410037,44,60848.776830306466,310.2260634482783
North,C,2596.3429744939945,46,50861.33534295877,66.17402320853394
West,A,953.2936902052559,15,34164.68462047404,259.5191081596071
North,B,2014.028268716609,24,61005.47372082826,294.1900856184095
North,C,1597.3248589574105,48,75846.60681611169,178.94356345772798
West,A,1669.9661682309957,8,48842.254041605374,315.87496725605484
South,C,1636.3585063188518,28,80244.55781122603,63.72511247257224
West,C,2749.8753668091504,42,63478.476362271795,66.80668493714649
West,C,717.7356272386374,46,90067.51044812765,420.17025229684623
South,A,2457.2536236402466,17,41321.62305931932,212.0857886350683
East,B,2587.531678938208,35,82995.57642855399,107.17723069334815
West,B,2857.1928678837253,31,95278.68036984025,285.00946702466194
North,C,1631.4998873442782,4,81897.85553131744,396.49709889437486
West,B,1750.1629797172916,48,58415.61303298869,147.11946237357944
West,C,2903.2363028522914,14,46131.90368610197,330.3007141185501
North,A,1646.1276523729075,25,36885.71916887328,88.4063592471956
South,A,1758.8711824406446,46,74965.87884261282,73.25677452587347
East,A,1330.63579547346,48,39999.80209210802,289.1095842056666
East,C,579.0686267116247,40,88681.28109401064,293.2858047245479
North,B,1582.6363794037316,7,97251.61398868109,336.84345567419297
South,A,2137.7282771184646,31,39505.24247700386,376.7411001751977
West,C,2224.864776533893,35,56323.706584550666,489.1334357581406
West,B,516.2716172115238,38,95609.04738284885,282.3351567355379
West,B,2502.6319369320718,20,62949.32075259309,195.3304128235607
West,B,1731.0390353213675,16,67479.12394562947,407.83378764591663
West,C,1801.8634034654822,22,82326.11992746798,171.87451306793338
North,C,2904.3592204259185,36,44737.33876361341,247.53713931753626
West,C,1211.1528966395447,19,98540.43495240252,85.30537160401968
West,A,2404.129972420418,2,84661.84717053786,61.40783453695588
South,C,1936.9406141806771,4,41296.135886617616,483.1917866050663
West,A,2251.9961538950956,34,37774.87040181403,426.1910542304926
East,A,1544.5436294528108,7,95446.79588913798,363.18839274216407
North,A,1198.018847410671,47,77951.94599138177,234.02882498642145
North,C,1865.3148809223362,49,32699.71142861826,127.9824440318806
North,A,1437.3528658816174,14,39939.10543664086,120.39666920198871
East,C,1057.2779470741598,43,33348.047165809694,162.60930417406792
West,C,2598.090370284406,32,98185.71944932516,297.1519991177542
North,A,1689.578987503228,17,64849.562945330676,371.56816521502805
East,A,2618.289352977248,37,62350.39070633329,347.08881952297907
South,A,1685.0789559223008,14,96904.51363251993,175.97025362567427
West,C,1891.9942442810202,17,65324.519682793536,479.68937629843737
East,C,2988.200603284887,32,66242.83928718083,382.05361251309586
West,A,2878.7605300878995,2,98886.80143473335,299.4593236301303
South,A,1179.2246766672265,39,37800.25517231059,325.2743358054585
East,B,2671.638466123055,4,99002.83577515928,238.82002809250545
West,A,1476.008709242983,40,41597.45298746341,161.47894527552086
East,B,678.1218447759819,30,63103.80245305362,210.18770539306772
North,B,1939.4525370635008,30,53632.95757349345,391.0307497089661
West,C,2942.629648635588,33,96879.48740190337,56.47706988339014
East,C,2935.784217513213,42,63985.231617485886,102.23268822811231
North,B,816.1634454061701,1,31611.016175359182,70.70118890978874
South,B,2428.091666544625,33,45518.379400579215,68.32796104353656
West,A,2507.0826106255186,36,60156.84322603408,434.95726280495325
West,B,1421.86196079165,49,77347.32853402912,366.64603672101066
South,A,2146.487952971178,31,69333.20988484644,263.37822308929634
North,C,1720.3986956930544,37,89493.65056156341,94.02537229295066
South,A,1069.732744274817,14,87990.35116230411,271.2271438025746
West,C,2403.160703062469,6,71335.65103657226,263.0622968512546
East,B,1156.8817695310327,7,69992.04555198939,127.94084145950683
North,B,1351.119382604148,40,49471.53012052945,245.23324215708786
North,B,975.0460122886527,24,97053.41054961557,229.32713047881805
North,A,2298.1782594717606,4,35379.59364170766,327.1325441234974
South,C,1646.8101345764483,25,57792.11809144699,335.7921428904397
South,C,1608.433137097333,3,76258.51227382198,70.38680439742004
East,C,2011.4071672250316,28,96196.41700599993,218.57567658191203
East,C,893.1586181183433,23,65107.083926810636,331.63696207140634
North,C,2745.3847240643986,36,92714.35285546354,276.41131636103944
East,A,1662.7723905898274,48,37335.98445972603,435.42042853474504
South,C,1416.3171467050747,13,67210.8922311413,346.41213422852525
East,B,816.7265222629811,22,52123.53918187272,123.32049218664336
South,C,919.8855109185356,25,85698.7733335166,81.75593633019344
East,B,2800.90078478465,43,61149.63683313431,339.088675192842
West,A,1641.5425834993057,24,63267.674029829876,61.930089743729816
South,A,2305.459798398152,43,34534.74661672812,313.5990115730585
West,B,701.290881646333,37,60660.70428671536,473.1036086412309
South,C,2108.6613603162095,33,35658.00878527126,308.96338004414554
East,A,2803.797980843553,14,50969.34826632376,224.67646679293486
West,A,1249.908627203728,24,38881.70282185126,339.47969829905895
East,A,1947.8512517835982,22,53413.66471061512,256.21380072118245
South,C,2850.5477607896264,37,45917.18413699757,295.5275551921707
West,B,2298.3063845118004,23,49962.596775365804,473.65916394943633
North,B,655.8137559601932,6,40387.008807067454,223.74618701034842
East,C,1446.842868151097,19,60772.5329110264,482.5357537207614
South,A,714.431890218221,12,64830.35314304453,457.4077888802287
West,C,2653.2939904979353,26,88565.33852147397,138.1060106551834
East,C,2054.1567530090388,29,67717.77818592353,81.21258539382445
West,B,2890.9543620847144,14,46013.02703027347,95.350100619842
East,C,549.390822964518,17,81512.69876423955,58.19982154319737
East,C,1557.7184246347606,30,50807.27227214616,92.49933234016777
East,A,760.9102488609868,7,82947.75825821857,357.35304803736057
West,A,1376.2195565497818,21,57101.48407442712,82.03489180710304
West,B,904.7170583914675,1,65957.25438103292,193.5390336321926
East,A,1321.9843999835505,49,65262.8897663137,430.19388993625455
North,C,2548.1550118050727,38,96894.5087594254,60.472371081121636
North,C,901.748316206759,4,40756.5720616295,416.5108171650211
North,C,1684.1618923804706,46,95698.89189909345,176.83464864802997
South,B,2803.957835151316,8,69339.20111372037,103.17417242974531
North,A,2996.948219635766,18,99558.20069587616,363.5317244138678
West,C,1126.6027954377082,45,70119.6793213104,333.0242810509478
North,A,2838.9204269152506,8,75946.32765798982,444.86240608717384
West,A,1153.4717020025637,31,82470.19421680755,380.7819697117486
South,A,1533.8212474589834,31,87525.24254909938,411.5664186731819
West,A,2694.8090305833184,28,63429.45268234629,176.9155576570879
West,B,2465.4402623106207,48,77501.5720958981,129.84779470087528
West,B,2643.7188930593384,37,73041.8097131451,387.7766382383862
North,B,2500.6416982611267,3,58496.089795074266,413.0756326702688
East,C,1087.6525125251032,45,87455.83314898203,495.727313900303
West,C,1896.9877885765054,15,43471.39872523898,235.6779546101419
North,C,1463.1267959048048,4,41699.14979641642,217.40813860675243
North,B,1649.2774211209216,35,81550.67501476305,399.3858323338986
North,A,884.8907553090769,34,74623.97196009432,203.36159311385802
East,B,1289.4188980629265,36,52236.23258754592,468.84079652160415
East,C,2644.117803555467,6,74459.09331615713,436.2857383293553
East,C,2743.89602471541,4,83945.30318895332,243.04731231875826
East,A,2025.3827097478465,49,45187.63247437372,387.8919805061738
South,B,1745.668142501882,30,70697.58922633878,389.5442933381071
East,A,2282.099220373251,39,87726.61303623297,96.40574097616968
East,B,2022.1331255555058,18,58786.6976898485,456.148808005805
East,C,2959.187515869534,22,70021.56953003776,277.3635676015357
West,A,975.2219804105082,10,35497.499299072806,421.90585974848375
West,A,1622.611815616204,49,88132.81093610606,194.0223204637753
East,B,2795.6012557138843,29,85728.84582222067,452.9854528232902
South,B,2786.842649771311,23,61937.8117097633,225.1407554303734
West,B,1738.3671164029338,4,38347.38871317663,54.87694316613426
North,C,837.0225050034537,19,76227.91488624326,457.42188938866866
West,B,2537.394918732256,26,70108.60838689,91.0790045537601
North,C,1962.912966258369,7,94363.59282302627,193.69113691568668
West,B,2432.915039643142,13,49586.5970862878,477.5278851728622
East,B,1656.3090785264758,3,32262.852505744257,477.77321612190025
West,C,1009.7098048420664,40,47831.77270334195,308.04704965547876
East,B,559.9735186988021,11,59953.48855681442,334.32674547640966
East,C,1897.8456720993804,16,40881.110772363485,251.8004848902439
West,C,902.6154472039739,20,98581.44608103049,181.94484726412904
North,B,967.8430214945536,23,45567.37181926875,197.89904541646217
North,B,1590.7640773929108,23,77450.25980294176,352.63330523466726
West,A,1605.1926835972445,32,61787.88804492567,388.568538246956
East,B,1185.9677255142633,41,68860.3498378672,406.21056967663185
North,A,829.8055210586712,42,95287.59946581654,405.32816425754925
South,B,2862.381879555844,38,67208.76891565014,91.04274637191067
East,C,829.1015396956498,3,51365.85429171106,272.48913711616166
West,C,1376.9314615028238,8,45457.00152549087,75.90144200748992
East,A,1262.1699815186157,38,92439.50090451541,297.287997045681
South,B,2665.84474239638,40,99070.75459700833,248.68872561801965
South,A,1525.1561211964263,14,47628.25112264663,449.4668822412349
North,B,810.1087480859107,8,80535.3616695583,207.91175564843542
South,B,525.6525710112385,11,65402.67400826094,102.68015739242264
East,C,2304.874008686312,42,78900.80985713494,114.34625692377614
North,A,2286.2527314196254,42,97495.02009394509,392.6797842728625
South,C,1544.4591782830691,43,49326.07098948729,328.1981284923175
North,C,815.7700007808089,33,81796.21874417481,95.50520425525562
North,C,1429.0845314318697,15,60656.2767442528,87.84806275174884
West,A,1974.706127292577,37,75677.38793569941,365.436109156604
North,B,2259.8573545171025,14,58465.63411192463,82.74335286388708
North,B,695.5997310856906,26,79583.51861161838,419.8370266806603
South,A,1890.7686765366975,8,53625.11048292734,367.8090022204233
East,B,1190.3101961203438,49,64184.85683149169,86.6069512888549
East,A,2043.1657178341065,4,79615.55514310906,88.17697133833636
South,A,2120.350307161902,36,32989.47585245825,493.9878103255289
East,B,2776.5092544367963,18,52966.26718917137,218.42185809025415
North,C,1525.9459384723998,27,68232.92918387246,216.7889661801009
West,A,1843.976650338294,19,35189.46246466594,415.75980526587614
North,A,1170.5378069012731,3,79220.97397006841,476.2618598227364
North,A,1216.3925603628186,9,86930.08695441877,493.7004787202919
West,A,615.0844539034063,39,41432.91166933014,389.0201833665237
South,B,1215.1723557462658,2,81342.41007421966,219.3168134889121
North,B,659.5717239766448,9,75234.00943323033,87.57532251440094
North,A,2909.7894764645744,6,58761.49352041737,399.7161121673466
South,C,2060.658088440261,38,41549.16924313667,301.2819123811123
North,B,932.8714029657351,28,96841.48535989317,240.89990416113932
North,C,791.9158995508378,48,62480.768422371206,457.8594732926312
East,C,1425.3065511938585,34,42855.04165996108,100.03886703776811
South,A,1269.1183115471035,29,80271.49720378584,271.6812969308866
North,B,1198.1369522861323,48,72552.85688846826,55.10914014533858
